"ap_position","mean_total","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25"
"length_rss1_1","-40.29","-3.83","-4.2","-3.77","-3.34","-2.84","-2.2","-1.84","-0.72","-0.14","0.2","0.05","-0.14","0.38","0.66","0.88","1.38","1.11","1.45","1.95","2.12","2.22","2.25","2.39","2.84","2.74"
"length_rss1_2","-48.22","-3.54","-3.94","-4.75","-5.06","-5.45","-4.59","-3.29","-2.7","-3.27","-3.61","-3.18","-2.1","-1.14","1.08","2.47","3.53","3.77","4.86","5.17","5.23","5.19","4.62","4.21","3.09","1.74"
"length_rss1_3","-53.05","-0.93","1.6","1.76","0.78","0.75","0.47","0.2","0.69","0.73","-0.1","-0.4","-0.84","-0.59","0.24","0.8","-0.27","-0.91","-0.64","-0.51","-0.94","-0.42","-0.54","-0.2","-0.55","-1.66"
"length_rss1_4","-46.0","1.54","2.47","2.22","2.66","3.11","2.38","2.28","2.29","1.87","0.81","0.77","0.84","0.09","-0.57","-0.86","-1.4","-1.6","-1.61","-1.84","-2.25","-2.72","-3.04","-3.02","-3.21","-3.02"
"length_rss1_5","-37.62","3.3","2.81","2.86","3.12","4.17","4.91","4.57","4.24","3.43","2.39","0.86","-0.13","-0.9","-1.88","-3.3","-3.77","-4.32","-4.39","-4.13","-3.64","-2.86","-2.04","-1.98","-2.26","-1.98"
"length_rss1_6","-49.4","2.6","3.47","3.64","2.91","3.21","1.78","1.48","1.77","0.8","1.34","2.94","2.96","1.12","-0.2","-1.65","-1.25","-0.12","0.53","0.49","-0.95","-4.87","-6.63","-5.85","-5.85","-4.6"
"length_rss1_7","-37.82","-3.54","-3.18","-2.68","-2.64","-2.27","-3.1","-4.08","-4.93","-5.79","-5.33","-4.28","-3.37","-1.11","0.48","2.54","3.81","4.49","4.99","4.84","4.12","3.44","3.31","4.19","4.58","5.18"
"length_rss1_8","-49.98","-2.76","-4.13","-5.46","-5.82","-6.27","-6.46","-4.79","-1.7","0.13","1.74","2.09","1.84","1.23","1.43","2.51","3.1","1.83","1.07","1.19","0.26","-0.47","0.09","2.45","6.66","9.29"
"length_rss1_9","-43.83","14.52","15.31","15.35","13.36","10.57","7.89","5.63","5.14","8.1","7.39","5.14","1.22","-1.35","-2.64","-3.27","-5.26","-6.33","-7.59","-10.38","-12.34","-13.94","-13.93","-12.22","-10.36","-10.55"
"length_rss1_10","-63.25","-5.04","-5.04","-3.25","-2.45","-1.36","-0.69","-0.89","-1.27","-1.02","-0.97","-1.1","-0.34","0.2","0.83","2.49","2.81","2.59","2.2","2.36","2.15","2.33","2.3","1.73","1.18","-0.16"
"length_rss1_11","-71.52","-4.96","-2.64","0.34","-0.41","0.04","0.25","-1.2","-1.65","-0.82","-0.82","-1.26","-1.56","-0.04","0.83","-1.11","-0.26","3.05","1.92","-0.08","0.44","0.34","0.98","3.03","2.97","1.65"
"length_rss1_12","-72.51","-1.53","-2.24","-3.92","-3.62","-1.85","-1.69","-1.54","0.03","1.46","1.01","0.19","-0.18","0.85","1.82","0.9","0.33","1.52","0.88","0.22","0.38","1.96","2.49","0.97","-0.32","1.01"
"length_rss1_13","-67.48","5.3","5.3","4.22","3.72","2.95","3.09","3.38","1.32","0.84","2.12","0.5","-2.09","-1.88","-1.91","-2.12","-2.03","-3.11","-3.05","-2.78","-3.31","-3.63","-2.11","-1.7","-2.37","-2.48"
"length_rss1_14","-72.23","-2.24","0.11","-0.03","-1.29","-1.08","-1.53","-1.16","-0.7","0.33","0.14","-1.07","-0.43","1.36","0.68","-0.48","-0.46","-1.58","-2.35","-0.06","0.97","1.43","2.1","3.01","2.88","2.12"
"length_rss1_15","-65.17","-0.46","-1.61","-3.43","-3.45","-1.84","0.15","-0.36","-1.37","-3.21","-3.97","-0.8","-0.38","-0.51","0.74","1.17","1.15","1.72","3.85","3.16","1.76","0.49","1.02","2.1","2.24","1.51"
"length_rss1_16","-72.84","-1.3","-4.24","-3.88","-1.68","-4.0","-3.62","-0.11","-0.11","-0.91","-1.1","-0.11","0.29","-1.48","-2.6","-2.78","-2.19","-0.1","0.44","1.56","2.88","2.94","1.99","2.61","5.06","6.9"
"length_rss1_17","-69.88","4.9","3.21","2.45","3.16","4.17","6.17","3.92","0.06","0.22","3.64","3.65","0.86","1.29","1.12","-0.68","-1.14","-0.98","-0.69","-1.76","-4.53","-5.7","-5.76","-5.65","-5.55","-6.99"
"length_rss1_18","-73.93","-0.84","-1.84","-0.26","-0.14","-0.6","-0.83","0.05","-0.82","-0.99","-0.58","-0.77","-1.26","-0.77","-0.57","-0.54","-0.31","0.64","0.5","0.61","0.74","1.28","0.76","1.46","0.97","1.07"
"length_rss1_19","-79.65","-0.63","-0.66","-0.99","-1.64","-1.09","-0.49","0.27","0.14","-0.33","0.28","0.64","0.56","0.25","0.18","0.16","-0.5","-1.26","-0.99","-0.05","0.53","1.06","0.63","0.73","0.72","1.11"
"length_rss1_20","-66.47","1.6","1.27","-0.62","0.37","2.12","1.11","-1.41","-2.23","-1.32","-0.75","-2.04","-1.59","-0.85","-1.16","0.51","1.32","0.91","1.58","1.71","1.18","-0.45","-1.68","-0.2","0.11","-1.82"
"length_rss3_1","-37.63","-1.12","-1.04","-1.3","-1.61","-1.8","-1.85","-0.88","0.25","0.96","0.81","-0.54","-1.77","-1.5","-0.45","0.18","0.21","0.27","-0.33","-0.54","-0.42","-0.02","1.02","2.66","3.9","3.92"
"length_rss3_2","-42.6","5.77","5.47","4.84","4.15","4.15","4.35","3.91","3.01","2.54","1.23","0.2","0.52","0.31","0.15","0.18","-0.89","-1.48","-2.52","-3.1","-4.47","-5.99","-6.38","-7.01","-7.23","-6.87"
"length_rss3_3","-40.42","-5.16","-5.25","-4.01","-2.87","-2.27","-2.17","-2.08","-2.34","-3.23","-1.28","0.07","0.04","-0.09","0.32","1.21","0.86","0.85","1.02","1.92","2.26","3.2","4.89","4.26","5.01","4.28"
"length_rss3_4","-45.13","-0.16","-1.08","0.21","0.79","0.31","0.65","1.38","0.64","1.15","1.26","0.17","1.05","-0.5","-1.95","-0.7","-2.08","-1.58","0.29","-0.29","-1.33","-2.43","-2.68","-1.54","0.99","2.1"
"length_rss3_5","-45.73","0.8","0.63","0.21","-0.22","-0.31","0.86","1.91","1.56","1.43","0.87","0.38","0.45","1.14","1.65","1.51","1.62","0.33","-0.72","-1.28","-1.51","-1.92","-2.24","-3.01","-3.67","-2.32"
"length_rss3_6","-37.92","-5.48","-6.67","-6.27","-4.32","-4.58","-5.61","-5.47","-4.64","-3.8","-1.73","-0.41","0.19","0.57","0.2","1.23","2.53","3.34","3.41","3.88","4.7","3.77","5.11","6.22","5.99","6.1"
"length_rss3_7","-40.9","-1.28","-1.69","-2.1","-1.42","-1.03","-0.85","-0.14","0.05","0.13","1.11","1.28","1.87","2.76","1.74","-0.04","-1.14","-1.69","-2.11","-1.79","-0.78","1.2","1.26","0.38","0.98","1.54"
"length_rss3_8","-51.56","1.53","0.97","3.22","3.82","-2.0","-7.09","-9.38","-9.71","-11.97","-11.93","-9.67","-5.63","-0.32","3.96","3.87","2.83","3.02","3.71","3.81","5.09","4.01","4.22","6.65","6.84","6.97"
"length_rss3_9","-47.73","11.21","10.98","10.69","11.17","10.17","7.13","5.64","4.47","4.01","3.42","4.06","3.2","-0.03","-6.51","-9.31","-9.0","-8.08","-7.26","-6.79","-6.79","-7.5","-6.97","-5.98","-7.03","-8.15"
"length_rss3_10","-63.89","-3.45","-3.29","-5.52","-6.53","-7.25","-6.41","-4.89","-2.57","0.85","1.79","1.57","0.7","0.82","0.38","1.41","0.61","0.39","1.3","2.33","3.09","4.84","5.0","4.07","2.92","2.95"
"length_rss3_11","-69.9","-1.24","0.14","0.41","-0.54","-1.1","-3.1","-3.53","0.01","3.53","1.27","0.49","0.77","1.8","1.24","0.21","-0.66","-0.47","-1.78","-2.31","-1.02","2.0","1.7","1.36","0.48","-1.14"
"length_rss3_12","-65.65","-0.29","0.68","1.9","1.47","1.59","0.78","0.3","0.62","-0.49","-1.35","-1.54","-1.6","-1.62","-1.81","-0.58","0.53","2.13","3.86","3.98","2.63","-0.13","-2.53","-3.83","-3.99","-3.85"
"length_rss3_13","-65.57","0.71","0.55","-0.26","-1.13","-1.64","-1.88","-1.26","-0.38","-0.97","0.26","1.37","1.47","3.62","4.74","2.88","1.07","1.6","0.99","0.7","0.9","-0.6","-1.18","-2.28","-5.83","-8.57"
"length_rss3_14","-66.91","-2.2","-1.61","-1.52","-0.71","0.01","-0.18","-0.85","1.14","2.56","0.29","0.88","1.59","0.32","1.12","1.33","1.29","1.14","1.78","-0.1","-0.46","-0.57","-2.19","-3.35","-1.73","-0.48"
"length_rss3_15","-64.01","-2.7","-1.08","0.79","0.78","-0.86","-1.81","-1.77","-0.05","0.03","0.42","0.97","1.4","1.12","0.08","-0.15","0.13","0.55","2.0","1.63","0.85","-0.64","-0.94","0.54","0.05","-1.8"
"length_rss3_16","-71.19","-4.83","-5.46","-4.8","-3.34","-3.67","-3.58","-2.95","-1.95","-1.19","-1.22","-1.41","-1.08","0.58","0.85","1.54","1.33","1.91","3.15","4.2","4.94","4.63","2.76","2.19","3.21","5.07"
"length_rss3_17","-67.88","7.02","5.98","4.7","4.79","4.82","4.7","4.76","3.48","2.22","2.57","1.85","0.97","-1.05","-2.17","-3.09","-3.65","-3.77","-4.36","-4.02","-4.47","-4.22","-3.42","-4.87","-5.16","-4.29"
"length_rss3_18","-70.61","-1.56","-2.37","-3.19","-2.84","-2.78","-2.02","-1.29","-0.91","-0.85","0.4","0.88","0.38","0.31","0.35","0.74","0.12","0.1","0.5","0.55","0.64","0.61","0.97","1.75","1.03","2.07"
"length_rss3_19","-67.31","-4.24","-3.68","-3.24","-3.44","-2.35","-1.48","-0.85","0.78","1.2","-0.33","-2.36","-3.31","-2.81","-1.23","-2.0","-0.4","1.13","2.83","5.86","4.24","2.27","0.93","0.4","0.13","1.29"
"length_rss3_20","-60.17","-0.32","-1.12","-0.81","-0.07","-0.68","-0.86","0.04","0.72","0.4","0.19","0.09","0.42","0.9","1.78","0.96","0.44","-0.1","-1.26","-1.89","-1.0","-0.45","-0.37","0.24","0.32","-0.02"
"length_rss4_1","-34.42","0.65","1.18","1.62","1.74","2.31","2.54","2.03","1.93","1.83","1.45","1.27","0.86","0.01","-0.65","-1.24","-1.58","-2.19","-2.09","-1.97","-1.99","-1.97","-1.79","-1.36","-1.16","-1.42"
"length_rss4_2","-40.69","-6.74","-6.42","-5.6","-4.65","-3.7","-3.38","-3.43","-3.75","-3.32","-2.6","-2.07","-1.56","-0.71","-0.27","0.84","1.14","1.72","2.51","3.08","5.08","5.38","5.58","6.7","7.35","8.03"
"length_rss4_3","-47.18","2.75","2.63","0.46","0.59","0.43","0.11","-1.15","-2.73","-1.53","-2.08","-1.7","0.03","-2.38","-3.21","-3.71","-1.56","1.72","3.51","2.24","0.58","-0.0","0.37","0.07","0.14","1.6"
"length_rss4_4","-47.29","-1.45","-0.13","0.52","0.52","0.15","0.29","0.13","-0.27","0.26","0.64","0.66","1.24","0.78","0.49","-0.3","-1.13","-1.33","-1.13","-0.4","-0.43","0.2","0.38","0.26","-0.12","-0.88"
"length_rss4_5","-38.97","1.54","2.69","2.84","1.65","-0.64","-1.24","0.34","0.95","1.81","1.56","0.64","0.2","-0.11","-0.8","-0.98","-0.83","-0.93","-1.03","-1.63","-1.19","-0.93","-1.22","-1.88","-1.71","-1.22"
"length_rss4_6","-44.75","-0.05","-2.03","-2.3","-2.88","-2.54","-0.88","-0.31","-0.83","-1.33","-0.41","1.36","1.76","3.48","4.62","2.95","1.38","1.68","2.45","1.64","1.26","-0.92","-2.88","-2.93","-2.85","-1.46"
"length_rss4_7","-45.4","-6.36","-5.34","-4.78","-4.02","-3.6","-2.98","-3.07","-2.32","-2.12","-1.57","-1.75","-2.25","-1.92","-1.0","-0.5","0.67","2.08","1.85","1.53","1.87","3.17","5.47","7.11","9.31","11.23"
"length_rss4_8","-53.19","4.55","3.52","2.43","3.8","5.03","2.7","2.25","2.79","-0.63","-4.02","-2.34","-2.81","-3.62","-1.11","-1.57","-3.03","-4.6","-3.95","-0.83","-0.12","-0.0","0.08","-0.29","-0.08","0.64"
"length_rss4_9","-46.89","7.18","6.95","6.13","5.68","5.6","5.24","4.9","4.71","3.85","2.87","0.82","-1.04","-0.83","0.41","1.1","-1.66","-4.4","-4.96","-5.13","-4.63","-4.99","-6.11","-7.26","-7.64","-7.24"
"length_rss4_10","-60.35","-6.8","-5.98","-3.88","-1.76","-0.16","-0.06","-0.13","0.65","0.5","-1.34","-2.38","-1.58","-0.84","0.32","1.54","2.05","2.15","1.13","0.7","1.92","2.35","3.29","3.31","1.35","1.1"
"length_rss4_11","-71.68","-4.72","-2.2","-1.33","-0.62","-0.21","0.87","1.95","1.56","1.62","0.2","-1.41","-2.54","-2.36","-0.68","1.61","1.45","1.47","2.34","1.94","1.99","1.46","-0.28","-0.4","-0.71","-1.35"
"length_rss4_12","-69.99","-1.4","-1.6","-2.13","-2.26","-2.07","-0.64","-1.27","-2.25","-1.79","0.23","2.58","1.66","0.38","0.64","-0.38","-0.74","-0.76","-0.71","0.01","0.39","0.34","1.58","2.85","2.7","2.05"
"length_rss4_13","-67.45","7.08","4.89","1.73","0.52","1.48","1.64","2.03","3.14","1.73","-0.11","0.22","-0.9","-2.42","-3.74","-2.76","-1.75","0.77","3.17","0.95","-0.18","-1.98","-3.35","-3.94","-4.75","-5.91"
"length_rss4_14","-69.82","-3.13","-2.96","-2.75","-3.23","-2.64","-2.63","-1.92","-0.16","1.21","0.48","0.15","1.31","2.29","1.39","0.22","1.12","1.69","0.41","0.39","1.31","2.82","2.1","1.32","0.35","-0.17"
"length_rss4_15","-52.07","-0.95","1.73","1.54","-0.3","-1.84","-3.17","-2.74","-3.37","-3.56","-4.06","-2.58","-2.74","-2.14","-1.16","-0.22","0.53","0.81","0.63","1.22","0.78","0.27","0.45","3.52","6.63","6.96"
"length_rss4_16","-63.57","-5.15","-2.91","-1.24","-0.37","-0.64","-3.13","0.02","2.69","2.99","2.51","1.2","-1.64","0.08","1.41","0.31","-0.64","0.79","1.93","0.68","-0.14","-0.59","-0.19","0.1","-0.77","0.87"
"length_rss4_17","-60.59","10.73","9.91","6.79","6.55","6.66","4.89","0.67","0.13","0.63","1.27","1.03","-0.93","-0.73","0.82","0.07","-2.15","-3.94","-3.11","-1.81","-2.06","-4.4","-5.69","-6.97","-8.81","-10.02"
"length_rss4_18","-67.33","-2.62","-2.36","-2.12","-1.38","-1.1","-0.82","0.43","0.21","-0.39","0.72","0.04","-0.22","0.22","0.09","-0.35","-0.07","0.06","0.36","0.82","0.38","-0.3","0.07","0.05","0.85","1.03"
"length_rss4_19","-75.17","-0.67","0.36","0.29","-0.5","-0.64","-0.9","-0.07","0.59","0.66","-0.04","-1.0","-0.22","-0.49","-0.63","-0.63","-0.7","-1.06","-0.45","0.12","0.42","0.37","-0.18","-0.17","0.1","1.22"
"length_rss4_20","-55.74","-0.43","-5.12","-4.88","-2.7","0.8","2.13","2.07","0.69","1.45","2.18","-0.83","-0.98","1.65","1.16","-0.55","0.53","1.58","0.04","0.38","0.14","-2.81","-2.32","0.38","0.73","0.78"
"length_rss5_1","-41.1","2.07","1.68","-0.13","-0.98","-0.63","0.49","0.71","0.56","0.87","0.86","0.74","0.46","0.63","0.41","-0.47","-1.15","-0.93","-0.65","-0.59","0.07","0.08","-0.39","-0.93","-1.34","-1.25"
"length_rss5_2","-43.45","2.73","2.13","2.66","2.37","0.29","0.18","0.27","0.61","-0.36","-1.67","-0.39","1.07","1.31","1.23","1.47","1.68","0.1","-0.8","-1.28","-0.94","-0.93","-2.09","-3.03","-3.28","-3.67"
"length_rss5_3","-40.74","-1.85","-3.0","-3.71","-3.06","-2.1","-1.43","-1.82","-1.01","-0.18","0.37","1.8","2.21","1.6","2.44","2.53","2.58","1.37","0.92","1.34","0.75","-0.43","-0.36","-0.61","-0.18","-0.31"
"length_rss5_4","-43.89","-2.88","-2.8","0.21","0.74","0.88","0.45","-0.9","-1.12","-0.34","-0.4","0.55","1.95","2.53","2.49","1.25","0.27","0.13","-0.58","-0.3","0.16","-0.94","-1.01","-0.91","-0.33","-1.17"
"length_rss5_5","-41.47","1.95","0.86","0.11","0.78","1.62","0.84","-0.95","-2.02","-1.65","0.08","0.28","0.03","-1.16","-1.19","-0.31","0.48","1.47","0.56","0.21","0.72","0.24","0.2","-0.16","-1.44","-2.05"
"length_rss5_6","-42.29","-2.58","-1.18","0.1","-0.09","-0.28","-1.07","-0.3","0.59","0.65","0.55","-0.26","-0.37","-0.55","-0.26","-0.85","-1.72","-0.4","1.3","0.67","1.12","1.64","0.86","-0.34","-0.16","0.18"
"length_rss5_7","-43.79","-3.94","-4.58","-4.68","-4.4","-3.21","-1.79","-1.27","-1.15","-1.22","-1.41","-1.55","-1.19","-0.64","-0.21","1.22","2.45","2.42","2.44","2.57","1.87","1.03","0.07","0.85","5.98","9.52"
"length_rss5_8","-52.5","4.26","5.15","4.02","2.85","2.96","2.81","-1.61","-3.28","-4.07","-4.05","-1.94","-2.6","-5.05","-5.92","-3.9","-1.56","-0.42","-1.26","-3.0","-1.67","1.08","4.76","3.88","3.14","4.38"
"length_rss5_9","-47.05","8.78","7.84","7.56","8.22","7.72","7.23","5.54","3.56","3.04","0.46","-3.89","-4.72","-3.55","-1.81","-1.94","-2.6","-2.77","-3.05","-3.43","-4.37","-4.86","-6.12","-6.54","-5.3","-7.8"
"length_rss5_10","-65.44","-3.86","-3.45","-4.32","-4.55","-5.82","-4.02","-0.98","0.84","0.62","-0.65","0.75","2.1","1.54","1.18","1.89","2.7","1.23","0.39","2.92","3.24","2.28","2.81","2.53","1.13","1.21"
"length_rss5_11","-70.96","-2.0","-1.89","-1.16","-0.82","-3.07","-2.55","-0.92","-1.6","0.16","1.89","0.5","-1.21","-0.07","2.07","2.02","2.76","4.68","4.02","2.32","0.12","-0.72","-0.04","-0.5","-1.75","-1.12"
"length_rss5_12","-69.86","-0.5","-0.21","-0.85","-2.43","-2.77","0.34","1.66","0.7","0.7","0.98","0.87","-1.13","-1.62","-0.4","-0.14","0.17","1.39","2.18","2.94","3.07","0.51","-0.47","-1.11","-1.93","-2.35"
"length_rss5_13","-66.72","4.77","4.15","2.84","1.65","0.09","0.28","0.86","0.39","-0.08","-0.53","-0.74","-1.13","-0.29","0.08","0.41","-0.69","-1.57","-1.08","-1.1","-0.46","-1.04","-2.27","-2.56","-1.8","-2.66"
"length_rss5_14","-72.79","-0.36","-1.71","-2.94","-2.78","-0.35","-1.48","-1.07","0.83","1.51","0.33","0.16","0.39","-0.43","-2.3","-1.47","0.7","1.95","1.5","0.89","0.53","-0.45","-0.21","1.17","2.12","0.57"
"length_rss5_15","-58.54","-1.25","1.22","1.93","-0.8","-1.88","-2.58","-3.52","-2.88","-2.88","-3.27","-3.16","-3.17","-3.46","-3.07","-0.92","0.42","-0.13","1.6","1.96","3.05","2.13","3.54","4.93","5.67","5.67"
"length_rss5_16","-70.23","-8.39","-6.68","-4.74","-4.82","-5.6","-4.86","-2.26","-0.37","0.37","0.93","1.7","0.82","-0.31","0.4","1.59","0.68","1.12","3.4","4.18","4.0","1.86","1.74","3.99","5.93","4.99"
"length_rss5_17","-67.5","10.4","9.74","8.99","8.9","6.98","4.81","4.27","2.75","2.63","1.81","0.34","0.58","-0.09","-0.53","-0.92","-1.87","-2.74","-3.13","-2.88","-4.2","-8.36","-10.36","-10.5","-9.17","-8.74"
"length_rss5_18","-76.64","-1.58","-0.96","-0.61","-0.68","-0.9","-0.73","-0.51","-1.18","-0.75","0.01","0.54","0.49","1.29","1.23","0.44","-0.32","-0.5","0.08","-0.33","0.39","-0.13","0.02","-0.1","-0.14","-0.24"
"length_rss5_19","-76.5","-2.18","-1.59","-0.93","-0.75","-1.0","-0.13","-0.01","0.04","0.07","0.15","-0.83","-1.88","-1.83","-1.23","-0.86","-0.32","1.0","1.46","1.52","-0.19","-0.19","0.45","1.58","2.82","3.56"
"length_rss5_20","-62.82","1.22","1.59","3.44","4.19","1.48","-0.39","0.12","-0.34","-1.03","-0.73","1.05","1.12","0.49","0.63","0.62","0.21","0.11","-1.45","-2.51","-2.68","-1.9","-1.63","-0.92","-1.51","-1.54"
"length_rss6_1","-40.02","0.47","-0.14","0.04","0.4","0.87","1.7","1.36","1.03","1.27","0.98","0.16","0.21","0.24","-0.9","-1.18","-0.66","-0.44","-0.81","-1.34","-1.33","-0.71","-0.02","-0.28","-0.6","-1.2"
"length_rss6_2","-45.68","-5.4","-3.27","-3.16","-2.61","-1.53","-0.13","-0.19","-0.29","-0.92","-0.81","-0.99","-1.09","-0.46","-0.07","-0.36","0.59","1.5","0.46","0.39","1.79","2.04","2.98","4.31","3.57","3.17"
"length_rss6_3","-48.47","-0.41","-0.14","0.38","-0.34","0.89","2.43","0.79","0.33","0.19","-0.69","-0.56","0.59","0.7","1.45","1.51","0.93","1.3","1.08","0.46","-0.12","0.62","-0.22","-3.62","-4.44","-3.78"
"length_rss6_4","-44.14","-1.67","-0.86","-0.6","-0.6","-0.19","0.13","0.18","-1.02","-1.32","-0.71","0.19","-0.06","0.07","1.66","2.81","0.69","0.73","0.25","-0.91","-0.47","-0.64","-0.37","-0.2","0.13","-0.19"
"length_rss6_5","-41.55","1.9","2.36","1.43","0.48","0.49","0.32","-1.18","-1.56","-1.19","-1.93","-2.55","-2.07","-1.48","-1.0","-1.1","-1.38","-1.15","-2.06","-1.21","0.12","0.44","1.01","2.59","2.83","2.71"
"length_rss6_6","-43.11","1.84","0.99","0.26","1.21","1.64","1.13","-1.16","-3.32","-3.05","0.37","2.36","1.19","1.18","1.5","2.23","3.0","2.49","1.42","-0.79","-2.9","-2.99","-2.35","-2.98","-2.36","-0.96"
"length_rss6_7","-39.02","-2.14","-2.39","-1.86","-1.24","-1.75","-2.15","-1.6","-1.52","-1.82","-1.87","-1.87","-0.71","-0.16","0.18","0.18","-0.49","-0.06","0.82","0.67","1.07","1.57","2.18","3.4","4.08","5.71"
"length_rss6_8","-49.24","1.88","1.96","1.38","1.66","3.56","3.42","-1.76","-3.25","-4.22","-5.59","-5.3","-4.1","-4.85","-4.36","-2.04","-1.55","-0.87","-1.44","-2.39","-1.4","2.35","6.37","6.6","6.21","6.21"
"length_rss6_9","-44.07","12.18","10.54","10.0","10.33","9.6","10.03","8.8","4.31","1.73","0.18","-2.7","-3.84","-3.06","-1.76","-2.15","-4.0","-4.35","-5.14","-6.24","-7.07","-6.88","-7.52","-8.38","-7.83","-7.81"
"length_rss6_10","-60.88","-10.36","-7.67","-5.09","-3.54","-3.63","-2.45","-1.21","-0.3","-0.16","-0.86","1.92","3.65","3.25","1.78","1.9","1.76","0.74","1.28","2.71","4.44","5.15","3.86","2.46","0.99","0.04"
"length_rss6_11","-68.69","-5.02","-1.51","-0.97","-0.43","1.07","2.35","-0.53","-2.08","0.35","0.95","-1.06","-2.21","-2.0","-0.94","1.33","-0.47","-1.94","-1.78","-0.65","1.85","2.39","1.62","2.22","2.56","1.76"
"length_rss6_12","-69.09","3.12","1.03","1.96","1.71","1.23","-0.09","-0.72","0.09","-0.11","0.15","0.48","1.12","0.86","0.59","-1.0","-2.09","-2.36","-2.82","-2.8","-2.46","-1.87","-1.16","-0.55","1.08","2.07"
"length_rss6_13","-65.32","1.53","1.54","2.44","2.67","1.97","2.35","3.68","3.06","-0.09","-1.26","-0.8","-1.24","-3.12","-3.54","-2.38","0.04","0.76","-0.97","-1.44","-0.82","-0.31","0.08","-1.53","-2.37","-2.3"
"length_rss6_14","-67.03","-2.17","-1.56","-2.35","-3.11","-1.64","-0.67","-1.43","-2.07","-1.17","-1.76","-2.81","-2.71","-1.45","-1.09","-1.64","-1.28","0.69","3.2","2.83","3.35","3.18","3.36","4.3","3.38","2.13"
"length_rss6_15","-60.38","0.92","-0.27","-1.96","-2.54","-0.95","1.35","2.13","2.18","0.61","0.96","0.31","-3.36","-5.29","-4.11","-3.3","-2.75","-0.94","1.67","1.71","1.32","1.09","2.77","3.21","2.47","1.37"
"length_rss6_16","-67.84","-5.82","-5.06","-5.88","-6.25","-5.9","-3.93","-2.75","-1.65","-0.97","-0.45","0.21","0.7","3.51","5.15","2.82","2.32","1.56","1.07","1.54","2.46","1.49","1.59","5.12","4.98","3.29"
"length_rss6_17","-65.79","6.21","3.44","3.49","5.28","4.83","4.13","4.95","2.38","0.55","1.06","0.87","1.14","1.18","0.5","-0.27","-1.8","-0.7","0.14","-1.8","-3.68","-5.14","-5.87","-6.69","-8.17","-6.84"
"length_rss6_18","-70.31","-3.46","-2.32","-1.47","-1.78","-2.02","-0.79","-0.11","-1.32","-0.41","0.09","1.03","0.39","0.29","0.3","0.55","1.0","0.43","0.57","0.62","0.47","0.52","0.62","0.41","1.84","0.83"
"length_rss6_19","-73.45","-0.35","0.69","-0.12","-0.33","-0.73","-1.47","-0.64","-0.91","-1.37","-1.22","-1.17","-0.23","1.06","-0.26","-0.52","-0.21","0.45","0.95","1.72","1.56","1.25","0.94","0.27","0.05","0.61"
"length_rss6_20","-57.48","0.24","-1.51","-2.73","-3.88","-2.65","1.43","3.2","1.84","1.06","-0.01","-1.57","0.28","2.31","1.83","1.4","1.28","0.39","0.48","0.72","0.06","-0.02","-0.84","-2.28","-1.74","-0.02"
"length_rss7_1","-66.62","0.25","-0.73","0.83","1.45","1.18","0.65","1.06","1.81","2.12","1.52","0.79","0.93","0.6","-1.11","-3.13","-4.09","-4.21","-3.48","-2.43","-1.45","-0.47","0.84","1.49","2.57","3.68"
"length_rss7_2","-69.88","-1.84","-1.39","-1.15","-0.79","0.62","1.3","0.26","0.53","0.38","0.08","-0.19","-1.02","-1.68","-1.56","-1.49","-0.74","0.31","-0.25","0.03","0.4","0.8","0.75","0.89","1.16","2.04"
"length_rss7_3","-75.8","-5.91","-4.54","-3.82","-2.43","-0.68","-1.1","-1.59","-0.08","-0.32","0.6","2.11","1.8","1.62","1.53","1.46","1.18","1.55","1.96","2.12","1.73","0.41","-0.5","1.05","1.73","0.82"
"length_rss7_4","-73.09","1.75","2.6","2.94","2.95","3.14","3.35","3.0","1.25","1.95","3.55","2.45","1.51","0.21","-0.19","-0.51","0.29","-1.46","-4.36","-4.77","-2.15","-1.09","-1.48","-2.88","-5.91","-6.67"
"length_rss7_5","-68.45","-0.75","-0.68","-0.56","0.65","1.05","0.21","-0.35","0.34","0.48","-1.27","-1.94","-2.01","-1.01","0.3","2.01","2.71","1.3","-0.34","-0.99","-1.42","-0.74","0.73","0.63","0.14","0.08"
"length_rss7_6","-72.04","-4.93","-2.94","-0.22","-0.03","-0.03","-0.05","1.1","-0.13","-0.38","-0.62","-1.64","-1.23","0.02","0.87","2.15","0.4","2.33","1.84","0.32","1.16","2.57","2.07","0.04","-0.73","-2.34"
"length_rss7_7","-56.21","11.21","9.74","9.42","10.53","10.37","10.28","10.0","9.5","8.55","6.78","5.07","3.01","-0.43","-3.36","-5.71","-6.95","-7.16","-7.64","-10.14","-11.86","-10.62","-10.88","-10.88","-10.89","-10.57"
"length_rss7_8","-47.43","-5.21","-4.86","-2.49","-2.12","-2.69","-2.48","-2.21","-1.49","-1.21","-1.2","-0.36","0.2","-1.52","-0.63","0.88","0.87","2.56","3.09","2.16","2.09","3.55","4.15","2.94","2.44","2.54"
"length_rss7_9","-53.65","-3.28","-2.71","-1.76","-4.69","-3.75","-4.05","-5.29","-4.11","-3.83","-6.09","-5.92","-3.87","-4.04","-6.18","-4.76","-2.27","-1.23","-0.53","2.87","6.02","9.63","11.09","11.65","11.67","11.29"
