"ap_position","mean_total","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25"
"length_rss28_17","-70.02","5.32","3.66","3.2","3.1","3.73","3.2","3.48","3.18","2.36","1.93","1.65","1.42","0.9","-0.69","-1.45","-1.64","-1.25","-0.29","-0.94","-2.2","-3.96","-5.12","-5.95","-6.74","-7.67"
"length_rss28_18","-79.3","-1.1","-2.09","-2.18","-2.04","-2.81","-2.0","-1.63","-1.03","-1.33","-0.77","0.19","0.18","-0.48","0.15","0.26","0.57","0.52","0.71","1.54","2.36","2.33","2.38","2.71","2.37","2.56"
"length_rss28_19","-74.71","-0.66","-1.42","-1.99","-1.94","-1.18","-0.08","0.8","-0.12","-1.94","-2.39","-1.53","-0.47","1.37","1.32","0.79","0.17","-1.05","-0.97","0.05","1.46","1.38","1.26","1.45","1.32","1.06"
"length_rss28_20","-70.0","-5.35","-4.32","-4.18","-3.29","-3.31","-4.37","-3.84","-2.04","-1.32","-0.49","-0.64","-0.77","-0.22","-1.08","0.79","1.75","1.49","2.32","3.99","2.96","2.5","3.97","4.55","3.4","4.32"
"length_rss29_1","-65.53","-7.54","-6.58","-3.15","-1.47","-1.14","-0.71","0.36","-0.02","-0.85","-1.21","-1.26","-1.0","-0.28","1.34","1.94","0.76","-0.47","-0.77","0.42","1.42","1.87","1.9","2.62","5.11","4.84"
"length_rss29_2","-72.84","-1.76","-2.2","-1.86","-0.88","0.33","-1.62","-1.05","-0.83","-2.41","-1.11","0.89","0.02","-1.38","-0.6","0.19","0.42","0.81","-1.1","-0.17","2.18","2.82","2.1","1.68","1.87","0.56"
"length_rss29_3","-75.64","-4.47","-4.17","-1.78","-0.82","0.8","1.74","-0.76","-1.22","-2.82","-2.71","-1.47","0.03","0.99","1.52","2.24","1.4","0.49","0.88","2.04","3.04","1.42","1.27","1.25","0.39","-0.15"
"length_rss29_4","-74.81","-0.73","-0.28","-0.31","1.12","0.12","0.77","1.03","1.91","3.52","2.98","3.19","0.34","-2.28","-0.01","1.06","-1.37","-1.04","-0.4","-0.1","0.32","-1.94","-3.19","-1.79","-1.1","-1.13"
"length_rss29_5","-68.94","5.63","3.12","2.64","2.55","0.98","-0.39","-0.22","-0.2","-0.15","0.6","-0.45","-0.13","0.45","-1.27","-2.8","-4.07","-5.28","-5.13","-3.55","-0.87","1.39","0.73","-0.95","0.72","5.54"
"length_rss29_6","-78.84","-1.0","-1.09","-0.74","0.99","0.65","-0.98","-1.79","-0.45","-0.14","-0.68","0.2","1.92","1.93","2.04","2.45","0.7","-0.54","-0.02","-1.09","-0.73","-0.1","0.15","0.72","-0.05","-2.33"
"length_rss29_7","-59.29","6.26","3.69","1.49","0.03","-0.97","-1.35","-1.86","-3.78","-5.74","-5.67","-4.61","-4.23","-3.04","-1.21","1.21","1.92","1.75","1.93","0.38","0.51","0.61","-0.31","1.3","3.3","3.86"
